No.,Sanctions country:,Name,Full name:,Native name:,Surname:,First  and midle name(s):,Aliases:,Identifying information:,Place of birth:,Date of birth:,Country of residence:,Family members,Family members subject to sanctions,Suspected or confirmed overseas properties,Suspected or confirmed links to legal entities,Suspected or confirmed links to bank accounts ,Suspected or confirmed links to other assets ,Estimates of assets frozen or confiscated:,Estimates of assets returned:,Type of sanctions:,Start of sanctions:,Story
01,Egypt,Hosni Mubarak,Mohamed Hosni Elsayed Mubarak,محمد حسني السيد مبارك,Mubarak,Mohamed Hosni El sayed,None,Former President of the Arab Republic of Egypt,"Egypt, Monufia Governorate, Kafr-El Meselha  ",04.05.1928,Egypt,"Suzanne Saleh Thabet - wife, Alaa Mohamed Hosni Elsayed Mubarak - son, Gamal Mohamed Hosni Elsayed - son, Mohammed Mubarak (deceased) - grandson , Mahmoud Gamal Mubarak - grandson , Omar Alaa Mubarak - grandson, Farida Gamal Mubarak - granddaughter  ","Suzanne Saleh Thabet - wife, Alaa Mohamed Hosni Elsayed Mubarak - son, Gamal Mohamed Hosni Elsayed - son  ","London (Knightsbridge), Paris (Bois de Bologne), Madrid, Marbella (Malaga) Dubai, Washington, D.C., New York Beverly Hills ","Pan World Investments Inc., Brick Nominees Limited",Spain (€18.4 million),Spain (five luxury cars),"€28 million in Spain, Switzerland around $650 million initially but later lowered due to reconciliations between officials and the subsequent Egyptian government https://www.egyptindependent.com/switzerland-lifts-freeze-ousted-mubaraks-financial-assets/","$34 million, originally belonging to businessman Ahmed Ezz",Asset freeze and prohibition to make funds available,21.03.2011,"The former Air Force officer, Hosni Mubarak, was sworn into power in 1981, after the assassination of a former president Anwar Sadat. (Sadat's family members and number of ""prominent members of Sadat’s circle were slapped with criminal charges for misusing their power and other corrupt practices""). 
But during the 30 year-long reign, Mubarak, his family and his close circle of advisers have enriched themselves through partnerships in powerful Egyptian companies and stashed a lot of this wealth abroad. The exposure of Mubarak's wealth by media, which has been assessed by some as high as $70 billion was a catalyst for people in Egypt, that time experiencing a chronic lack of jobs, who took to streets and pressured Mubarak to step down.  
In 2014, 'Hosni Mubarak and his sons Gamal and Alaa Mubarak received three and four-year jail sentences on charges of embezzlement and were ordered to pay a $17.5 million fine. In March 2017, Hosni Mubarak was released from detention after being acquitted of charges of killing protesters but remains under investigation for alleged corruption. Mubarak is said t reside in his private family residence in Cairo’s upscale district of Heliopolis."
02,Egypt,Suzanne Saleh Thabet,Suzanne Saleh Thabet,سوزان صالح ثابت‎,Suzanne ,Saleh Thabet,None,"Spouse of Mr. Mohamed Hosni Elsayed Mubarak, former President of the Arab Republic of Egypt","Egypt, Al Minya Governorate",28.02.1941,Egypt,"Hosni Mubarak - husband, Alaa Mohamed Hosni Elsayed Mubarak - son, Gamal Mohamed Hosni Elsayed - son, Mohammed Mubarak (deceased) - grandson , Mahmoud Gamal Mubarak - grandson , Omar Alaa Mubarak - grandson, Mounir Sabet - brother, Farida Gamal Mubarak - granddaughter  ","Hosni Mubarak - husband, Alaa Mohamed Hosni Elsayed Mubarak - son, Gamal Mohamed Hosni Elsayed - son  ","London (Knightsbridge), Paris (Bois de Bologne), Madrid, Marbella (Malaga) Dubai, Washington, D.C., New York Beverly Hills ",Unkown,Unkown,Unkown,Unkown,0,Asset freeze and prohibition to make funds available,21.03.2011,"Mubarak's wife Suzanne, was born to a Wesh mother and an Egyptian father.  She met Mubarak when she was only 16 years old, which whom they had together two sons; Alaa Mubarak and Gamal Mubarak. Widespread rumours were giving her power behind the scenes of her husband’s presidency and support of her son Gamal as Mubarak's successor, which she denied.  As First Lady, she was known for her charitable work and attended many important world events, and she served goodwill ambassador for the U.N.'s Food and Agricultural Organization. After the ousting of her husband, her charitable work came under srutiny and she has been investigted for corruption. One such case has been an alleged misappropriation of funds and donations related to the Alexandria Library.  http://content.time.com/time/world/article/0,8599,2071446,00.html "
03,Egypt,Alaa Mubarak,Alaa Mohamed Hosni Elsayed Mubarak,علاء مبارك‎ ,Mubarak,Alaa Mohamed Hosni El sayed,"Alaa Mohamed Hosni Elsayed Moubarak, Alaa Mohammed Hosni Sayyid Mubarak, Alaa Al Din Mohammed Hosni Ei Sayed Mubarak",Son of Mr. Mohamed Hosni Elsayed Mubarak,"Egypt, Cairo",26.11.1960,Egypt,"Hosni Mubarak - father, Suzanne Mubarak - mother, Heidi Rasekh -wife, Omar Alaa Mubarak - son, Mohammed Mubarak (deceased) - dson","Hosni Mubarak - father, Suzanne Mubarak - mother, Heidi Rasekh -wife","London (Knightsbridge), Paris (Bois de Bologne), Madrid, Marbella (Malaga) Dubai, Washington, D.C., New York Beverly Hills ","Pan World Investments Inc., Brick Nominees Limited",Unkown,Unkown,300 million of frozen Swiss francs were said to belong to Mubarak’s sons Alaa and Gamal,0,Asset freeze and prohibition to make funds available,"21.03.2011
","Alaa, Mubarak's older son was a businessman who owned a company that services most of the airlines in Egypt but unlike his younger sibling, show no interest in politics. Both sons were known for their extraagant and luxurious lifestyles during their father's 30-year reign.
Investigations that followed the Panama Papers leak revealed Alaa as the owner of Pan World Investments, an investment fund for the Mubarak family of nearly $1 billion incorporated by Mossack Fonseca.
Alongisde his father and older brother, Alaa was Initially sentenced for three years in prison for diverting millions of public money to maintain presidential palaces.
In September 2018, Alaa was arrested along with his brother Gamal, accused of manipulating the stock market."
04,Egypt,Heidy Rasekh,Heidy Mahmoud Magdy Hussein Rasekh,هيدي راسخ,Heidy ,Mahmoud Magdy Hussein Rasekh,Heddy Mahmoud Magdy Hussein Rasekh,"Spouse of Mr. Alaa Mohamed Hosni Elsayed Mubarak, son of former President of the Arab Republic of Egypt",Unkown,Unkown,Egypt,"Alaa Mubarak - husband, Omar Alaa Mubarak - son, Mohammed Mubarak (deceased) - son",Alaa Mubarak - husband,Unkown,Unkown,Unkown,Unkown,Unkown,0,Asset freeze and prohibition to make funds available,"21.03.2011
","Heidi Rasekh is a wife of Mubarak's son Alaa with whom they had two children but one died at the age of 12. Mubarak used his influence as president to raise private profits, pointing to 2 apartments he bought for Heidi, totalling 1,128 square metres, in Hesham Talaat Mostafa's Nile Plaza in Giza for US$1.5 million.
Another alleged scheme of illicit enrichment of Mubarak's family happened when Heidi Rasekh reportedly bought land from the New Urban Communities Authority in Sharm El-Sheikh in 2005 that was registered as 1000 square meters for LE1 million. The plot actually comprises 5000 square meters and is worth LE8 million, https://www.egyptindependent.com/prosecution-mubarak-and-family-amassed-le9-billion/ "
05,Egypt,Gamal Mubarak,Gamal Mohamed Hosni Elsayed Mubarak,جمال مبارك,Mubarak,Gamal Mohamed Hosni ,None,"Son of Mr. Mohamed Hosni Elsayed Mubarak, former President of the Arab Republic of Egypt.","Egypt, Cairo",28.12.1963,Egypt,"Hosni Mubarak - father, Suzanne Mubarak - mother, Khadiga el Gamal - wife, Mahmoud Gamal Mubarak - son, Farida Gamal Mubarak - daughter",".Hosni Mubarak - father, Suzanne Mubarak - mother, Khadiga el Gamal - wife,","London (Knightsbridge), Paris (Bois de Bologne), Madrid, Marbella (Malaga) Dubai, Washington, D.C., New York Beverly Hills ","Pan World Investments Inc., Brick Nominees Limited, Med Invest Partners, Bullion Co. ltd",Cyprus,,300 million of frozen Swiss francs were said to belong to Mubarak’s sons Alaa and Gamal,0,Asset freeze and prohibition to make funds available,"21.03.2011
","Gamal, Mubarak's younger son who was said to succeed his father as a president, was educated at the American University of Cairo and spent six years working as an investment banker for Bank of America in Egypt and also in London. In London, Gamal and his wife Khadiga lived in a luxurious propoerty in wealthy Knightsbridge. Gamal founded an investment advisory firm, Med Invest Partners, which helped Western investors seeking to purchase stocks and companies in Egypt.
Children of Hosni Mubarak, mainly Gamal Mubarak, have aquired their fortune by ensuring that companies coming to Egypt pay from 5 percent to 20 percent commission fee to one of their companies. Under Egyptian law, foreign businesses are required to give a local partners a 51-percent stake in their Egyptian operations and such local partners were usually connected to Mubarak's network of family and allies.
https://www.huffingtonpost.com/2011/02/11/how-the-mubarak-family-made-its-billions_n_821757.html
After serving his time in prison together with his father and brother, Gamal has been seen again attending public weddings and sporting events, as a possible attempt to rehabilitate his public image.  https://www.wsj.com/articles/sons-of-ex-egypt-leader-mubarak-arrested-in-graft-probe-1537038338 However, in September 2018, Gamal and his brother Alaa were arrested for charges of manipulation of the stock market."
06,Egypt,Khadiga El Gammal ,Khadiga Mahmoud El Gammal,خديجة الجمال,Khadiga,Mahmoud El Gammal,Khadija El-Gammal/ el Gamal/ al-gammal,"Spouse of Mr Gamal Mahamed Hosni Elsayed Mubarak, son of former President of the Arab Republic of Egypt",Unkown,"13.10.1984
",Egypt,"Mahamoud el Gamal  - father, Gamal Mubarak - husband, Mahmoud Gamal Mubarak - son, Farida Gamal Mubarak - daughter",Gamal Mubarak - husband,Unkown,Unkown,Unkown,Unkown,Unkown,0,Asset freeze and prohibition to make funds available,"21.03.2011
","Khadiga, the wife of Gama Mubarak and 20-years his junior received a degree in business administration from the American University in Cairo, where she has met Gamal Mubarak during a conference in 2006. Together they have two children, son Mahmoud Gamal Mubarak  and a daughter Farida Gamal Mubarak."
07,Egypt,Zuheir Garana,Mohamed Zuheir Mohamed Wahid Garrana,زهير_جرانة,Garrana,Mohamed Zohir Mohamed Wahid,"Mohamed Zoheir/Zuheir/Zuhir Mohamed Wahid/Wahed Garrana, Mohamed Zohair Mohamed Wahid Garana,  Mohamed Zoheir Mohamed Wahid Garrana",Former Minister of Tourism,Unkown,20.02.1959,Egypt,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,0,Asset freeze and prohibition to make funds available,"21.03.2011
","Minister of Tourism since 2005 until the revolution in January 2011. Garana has been arrested together with Mubarak and  other ministers of government, some of whom are not subject to sanctions anymore.  He has been sentenced to five years in prison for letting two businessmen buy state land illegally. https://www.voanews.com/a/egypts-former-tourism-minister-gets-5-years-for-corruption-121573429/158072.html  "
08,Egypt,Habib el-Adly,Habib Ibrahim Habib Eladli,حبيب إبراهيم العادلي‎,Habib ,Ibrahim Habib  Eladli,"Habib Ibrahim Habib al-Adli, Habib Ibrahim Habib al-Adli, Habib Ibrahim Habib Al-Adly, Habib el-Adly",Former Minister of Interior,"Egypt, Sharqiya Governorate",01.03.1938,Egypt,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,0,Asset freeze and prohibition to make funds available,"21.03.2011
","Minister of Interior since 1997 until the revolution in January 2011.  Habib el-Adly was sent to prison for 7 years and fined $2.5 million for corruption conviction. Initially fleeign the country, he was arrested in the fall of 2017. Togther with Hosni Mubarak and six other officials, el-Adly was cleared of charges related to killing protesters during the 2011 uprising, despite the pressure of human rights grouped to hold him and the regime accountable for use of torture and physical and psychological abuse of detainees.. ......... In hiding? freed?"
09,Egypt,Elham Sharshar,Elham Sayed Salem Sharshar,لهام شرشر,Sharshar,Elham Sayed Salem ,None,Spouse of Mr Habib Ibrahim Eladli,"Egypt, Cairo",23.01.1963,Egypt,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,Unkown,0,Asset freeze and prohibition to make funds available,"21.03.2011
",Former journalist in State-owned Al-Ahram Daily newspaper in its Crime section. Owner and editor-in-chief of a weekly newspaper Al-Zaman https://dailynewsegypt.com/2016/06/01/wife-mubarak-era-interior-minister-al-adly-launches-newspaper/
,,,EGYPT,,,,,,,,,,,,,,,,,,,
