ID ,Sanctions country:,Name:,Full name:,Native name:,Surname:,First  and midle name(s):,Aliases:,Identifying information:,Place of birth: ,Date of birth:,Country of residence:,Family members,Family members subject to sanctions,Suspected or confirmed overseas properties,Suspected or confirmed links to legal entities,Suspected or confirmed links to bank accounts ,Suspected or confirmed links to other assets ,Estimates of assets frozen or confiscated:,Estimates of assets returned:,Type of sanctions:,Start of sanctions:,Story,Picture:
01,Zine El Abidine Ben Haj Hamda Ben Haj Hassen BEN ALI,Ben Ali,Zine,El Abidine Ben Haj Hamda Ben Haj Hassen,,Ex-president,Saudi Arabia,Tunisia,unnown,Hamman Sousse,03.09.1936,Male,"
",,05.02.2011,Revised every year,,,,,"Person subject to judicial investigations by the Tunisian authorities for misappropriation of pub­ lic monies by a public office-holder, misuse of office by a public office-holder to procure an un­ justified advantage for a third party and to cause a loss to the administration, exerting wrongful influence over a public office-holder with a view to obtaining directly or indirectly an advantage for another person and for the offence of the re­ ceipt by a public official of public funds which he knew were not due, and used for the personal
benefit of himself or members of his family.",,Yes
02,,,,,,,,,,,,,,,,,,,,,,,
03,,,,,,,,,,,,,,,,,,,,,,,
04,,,,,,,,,,,,,,,,,,,,,,,
05,,,,,,,,,,,,,,,,,,,,,,,
06,,,,,,,,,,,,,,,,,,,,,,,
07,,,,,,,,,,,,,,,,,,,,,,,
08,,,,,,,,,,,,,,,,,,,,,,,
09,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,http://www.kapitalis.com/politique/6827-tunisie-mehdi-ben-gaied-ex-fiance-de-halima-ben-ali-entendu-par-la-justice.html,,
6090,Mohamed Slim Ben Mohamed Hassen Ben Salah CHIBOUB,Chiboub,Mohamed,Slim Ben Mohamed Hassen Ben Salah,Slim Chiboub,,Tunisa,Tunisa,,,13.01.1959,M,Misappropriation,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0111&from=EN,29.01.2016,Revised every year,,,,,"Son-in-law of the former President, businessperson and former head of the Tunisian National Olympic Committee, after the revolution he fled to the UAE. Reports suggest his properties in Tunisia were confiscated, as well as property in Switzerland. He returned to Tunisia in 2014 and was arrested on arrival. He entered into a reconcilliation agreement with authorities in 2016: http://kapitalis.com/tunisie/2016/05/05/reconciliation-nationale-slim-chiboub-fait-premier-pas/, http://www.businessnews.com.tn/slim-chiboub-arrete-a-son-arrivee-en-tunisie-puis-transfere-au-tribunal-audio,520,51236,4, https://www.jeuneafrique.com/mag/586420/politique/tunisie-que-devient-slim-chiboub/ ","Switzerland, EU",Not open source
6091,Dorsaf Bent Zine El Abidine Ben Haj Hamda BEN ALI,Ben Ali,Dorsaf,Bent Zine El Abidine Ben Haj Hamda,,,Tunisia,Tunisia,,,05.07.1965,F,Misappropriation,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0111&from=EN,29.01.2016,Revised every year,Unclear,Unclear,Unclear,,"Daughter of former President Ben Ali, wife of also sanctioned businessman Slim Chiboub. Sentenced in April 2018 to two years imprisonment for appropriating a plot of land belonging to the Ministry of Defense, in the city of Hammamet (under appeal): https://directinfo.webmanagercenter.com/2018/04/18/tunisie-le-tribunal-militaire-ordonne-lemprisonnement-de-dorsaf-ben-ali-chiboub/",,Yes but not open source
